tick_index,status,sim_time_s,soc_pct,v_bus_v,v_batt_v,i_batt_a,p_batt_w,p_load_w,load_consumption_w,p_source_w,max_safe_discharge_w,max_safe_charge_w,source_power_limit_w,source_deficit_w,source_support_needed,source_support_active,source_support_target_w,bus_voltage_error_v,bus_voltage_support_w,bus_voltage_support_active,bus_support_integral_error_v,bus_support_integral_v_s,bus_support_integral_w,bus_support_integral_context_active,bus_support_trim_error_v,bus_support_trim_source_slack_w,bus_support_trim_w,bus_support_target_unslewed_w,bus_support_target_slew_active,bus_support_target_w,source_can_sink_power,source_at_limit,source_available,fault_flags,observation_extra,policy_mode,policy_p_batt_cmd_w,policy_command_enable,policy_command_reason,command_mode,p_batt_cmd_w,command_enable,command_reason,constraint_note,violations
0,running,36.203,15.0,399.99999999999994,273.7113402061858,0.0,0.0,-199.99999999999997,199.99999999999997,200.000000000013,174.99999999999997,275.0,500.0,0.0,False,False,0.0,5.684341886080802e-14,2.8421709430404007e-13,False,0.0,0.0,0.0,False,0.0,299.99999999998704,0.0,0.0,False,0.0,False,False,True,{},"{'source': 'simulink', 'load_consumption_w': 199.99999999999997, 'max_safe_discharge_w': 174.99999999999997, 'max_safe_charge_w': 275.0, 'source_power_limit_w': 500.0, 'source_deficit_w': 0.0, 'source_support_needed': False, 'source_support_active': False, 'source_support_target_w': 0.0, 'bus_voltage_error_v': 5.684341886080802e-14, 'bus_voltage_support_w': 2.8421709430404007e-13, 'bus_voltage_support_active': False, 'bus_support_integral_error_v': 0.0, 'bus_support_integral_v_s': 0.0, 'bus_support_integral_w': 0.0, 'bus_support_integral_context_active': False, 'bus_support_integral_gain_w_per_v_s': 0.0, 'bus_support_integral_max_w': 20.0, 'bus_support_integral_leak_per_s': 0.25, 'bus_support_integral_deadband_v': 0.25, 'bus_support_trim_error_v': 0.0, 'bus_support_trim_source_slack_w': 299.99999999998704, 'bus_support_trim_w': 0.0, 'bus_support_trim_gain_w_per_v_s': 0.0, 'bus_support_trim_max_w': 12.0, 'bus_support_trim_decay_w_per_s': 0.25, 'bus_support_trim_deadband_v': 0.25, 'bus_support_trim_source_slack_deadband_w': 2.0, 'bus_support_target_unslewed_w': 0.0, 'bus_support_target_slew_active': False, 'bus_support_target_slew_down_w_per_s': 0.0, 'bus_support_target_w': 0.0, 'bus_support_min_w': 150.0, 'bus_support_gain_w_per_v': 5.0, 'source_support_entry_margin_w': 5.0, 'source_support_clear_margin_w': 1.0, 'source_support_bus_hysteresis_v': 5.0, 'source_support_hold_s': 3.0, 'source_backfeed_guard_enabled': True, 'source_min_power_w': 0.0, 'source_power_margin_w': 25.0, 'charge_headroom_guard_enabled': True, 'charge_power_margin_w': 25.0, 'charge_resume_bus_v': 385.0, 'charge_blocked_until_s': 0.0, 'post_discharge_charge_hold_s': 10.0, 'block_discharge_below_soc_min': True, 'allow_source_support_below_soc_min': True}",CHARGE,-100.0,True,LLM: SOC below target and source has charging headroom,CHARGE,-100.0,True,LLM: SOC below target and source has charging headroom,none,SOC 15.00% below target minimum 40.00%
1,running,40.661,15.0,400.00000000000006,273.7113402061858,0.0,0.0,-200.00000000000003,200.00000000000003,200.00000000004036,175.00000000000003,275.0,500.0,0.0,False,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,0.0,299.99999999995964,0.0,0.0,False,0.0,False,False,True,{},"{'source': 'simulink', 'load_consumption_w': 200.00000000000003, 'max_safe_discharge_w': 175.00000000000003, 'max_safe_charge_w': 275.0, 'source_power_limit_w': 500.0, 'source_deficit_w': 0.0, 'source_support_needed': False, 'source_support_active': False, 'source_support_target_w': 0.0, 'bus_voltage_error_v': 0.0, 'bus_voltage_support_w': 0.0, 'bus_voltage_support_active': False, 'bus_support_integral_error_v': 0.0, 'bus_support_integral_v_s': 0.0, 'bus_support_integral_w': 0.0, 'bus_support_integral_context_active': False, 'bus_support_integral_gain_w_per_v_s': 0.0, 'bus_support_integral_max_w': 20.0, 'bus_support_integral_leak_per_s': 0.25, 'bus_support_integral_deadband_v': 0.25, 'bus_support_trim_error_v': 0.0, 'bus_support_trim_source_slack_w': 299.99999999995964, 'bus_support_trim_w': 0.0, 'bus_support_trim_gain_w_per_v_s': 0.0, 'bus_support_trim_max_w': 12.0, 'bus_support_trim_decay_w_per_s': 0.25, 'bus_support_trim_deadband_v': 0.25, 'bus_support_trim_source_slack_deadband_w': 2.0, 'bus_support_target_unslewed_w': 0.0, 'bus_support_target_slew_active': False, 'bus_support_target_slew_down_w_per_s': 0.0, 'bus_support_target_w': 0.0, 'bus_support_min_w': 150.0, 'bus_support_gain_w_per_v': 5.0, 'source_support_entry_margin_w': 5.0, 'source_support_clear_margin_w': 1.0, 'source_support_bus_hysteresis_v': 5.0, 'source_support_hold_s': 3.0, 'source_backfeed_guard_enabled': True, 'source_min_power_w': 0.0, 'source_power_margin_w': 25.0, 'charge_headroom_guard_enabled': True, 'charge_power_margin_w': 25.0, 'charge_resume_bus_v': 385.0, 'charge_blocked_until_s': 0.0, 'post_discharge_charge_hold_s': 10.0, 'block_discharge_below_soc_min': True, 'allow_source_support_below_soc_min': True}",CHARGE,-100.0,True,LLM: SOC below target and source has charging headroom,CHARGE,-100.0,True,LLM: SOC below target and source has charging headroom,none,SOC 15.00% below target minimum 40.00%
2,running,44.545,15.0,400.00000000000006,273.7113402061858,0.0,0.0,-200.00000000000003,200.00000000000003,200.0000000000479,175.00000000000003,275.0,500.0,0.0,False,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,0.0,299.99999999995214,0.0,0.0,False,0.0,False,False,True,{},"{'source': 'simulink', 'load_consumption_w': 200.00000000000003, 'max_safe_discharge_w': 175.00000000000003, 'max_safe_charge_w': 275.0, 'source_power_limit_w': 500.0, 'source_deficit_w': 0.0, 'source_support_needed': False, 'source_support_active': False, 'source_support_target_w': 0.0, 'bus_voltage_error_v': 0.0, 'bus_voltage_support_w': 0.0, 'bus_voltage_support_active': False, 'bus_support_integral_error_v': 0.0, 'bus_support_integral_v_s': 0.0, 'bus_support_integral_w': 0.0, 'bus_support_integral_context_active': False, 'bus_support_integral_gain_w_per_v_s': 0.0, 'bus_support_integral_max_w': 20.0, 'bus_support_integral_leak_per_s': 0.25, 'bus_support_integral_deadband_v': 0.25, 'bus_support_trim_error_v': 0.0, 'bus_support_trim_source_slack_w': 299.99999999995214, 'bus_support_trim_w': 0.0, 'bus_support_trim_gain_w_per_v_s': 0.0, 'bus_support_trim_max_w': 12.0, 'bus_support_trim_decay_w_per_s': 0.25, 'bus_support_trim_deadband_v': 0.25, 'bus_support_trim_source_slack_deadband_w': 2.0, 'bus_support_target_unslewed_w': 0.0, 'bus_support_target_slew_active': False, 'bus_support_target_slew_down_w_per_s': 0.0, 'bus_support_target_w': 0.0, 'bus_support_min_w': 150.0, 'bus_support_gain_w_per_v': 5.0, 'source_support_entry_margin_w': 5.0, 'source_support_clear_margin_w': 1.0, 'source_support_bus_hysteresis_v': 5.0, 'source_support_hold_s': 3.0, 'source_backfeed_guard_enabled': True, 'source_min_power_w': 0.0, 'source_power_margin_w': 25.0, 'charge_headroom_guard_enabled': True, 'charge_power_margin_w': 25.0, 'charge_resume_bus_v': 385.0, 'charge_blocked_until_s': 0.0, 'post_discharge_charge_hold_s': 10.0, 'block_discharge_below_soc_min': True, 'allow_source_support_below_soc_min': True}",CHARGE,-100.0,True,LLM: SOC below target and source has charging headroom,CHARGE,-100.0,True,LLM: SOC below target and source has charging headroom,none,SOC 15.00% below target minimum 40.00%
3,running,48.501,15.0,400.00000000000006,273.7113402061858,0.0,0.0,-200.00000000000003,200.00000000000003,200.00000000004732,175.00000000000003,275.0,500.0,0.0,False,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,0.0,299.9999999999527,0.0,0.0,False,0.0,False,False,True,{},"{'source': 'simulink', 'load_consumption_w': 200.00000000000003, 'max_safe_discharge_w': 175.00000000000003, 'max_safe_charge_w': 275.0, 'source_power_limit_w': 500.0, 'source_deficit_w': 0.0, 'source_support_needed': False, 'source_support_active': False, 'source_support_target_w': 0.0, 'bus_voltage_error_v': 0.0, 'bus_voltage_support_w': 0.0, 'bus_voltage_support_active': False, 'bus_support_integral_error_v': 0.0, 'bus_support_integral_v_s': 0.0, 'bus_support_integral_w': 0.0, 'bus_support_integral_context_active': False, 'bus_support_integral_gain_w_per_v_s': 0.0, 'bus_support_integral_max_w': 20.0, 'bus_support_integral_leak_per_s': 0.25, 'bus_support_integral_deadband_v': 0.25, 'bus_support_trim_error_v': 0.0, 'bus_support_trim_source_slack_w': 299.9999999999527, 'bus_support_trim_w': 0.0, 'bus_support_trim_gain_w_per_v_s': 0.0, 'bus_support_trim_max_w': 12.0, 'bus_support_trim_decay_w_per_s': 0.25, 'bus_support_trim_deadband_v': 0.25, 'bus_support_trim_source_slack_deadband_w': 2.0, 'bus_support_target_unslewed_w': 0.0, 'bus_support_target_slew_active': False, 'bus_support_target_slew_down_w_per_s': 0.0, 'bus_support_target_w': 0.0, 'bus_support_min_w': 150.0, 'bus_support_gain_w_per_v': 5.0, 'source_support_entry_margin_w': 5.0, 'source_support_clear_margin_w': 1.0, 'source_support_bus_hysteresis_v': 5.0, 'source_support_hold_s': 3.0, 'source_backfeed_guard_enabled': True, 'source_min_power_w': 0.0, 'source_power_margin_w': 25.0, 'charge_headroom_guard_enabled': True, 'charge_power_margin_w': 25.0, 'charge_resume_bus_v': 385.0, 'charge_blocked_until_s': 0.0, 'post_discharge_charge_hold_s': 10.0, 'block_discharge_below_soc_min': True, 'allow_source_support_below_soc_min': True}",CHARGE,-100.0,True,LLM: SOC below target and source has charging headroom,CHARGE,-100.0,True,LLM: SOC below target and source has charging headroom,none,SOC 15.00% below target minimum 40.00%
4,running,52.208,15.0,399.1745633511327,273.7113402061858,0.0,0.0,-498.9682041889159,498.9682041889159,500.0,473.9682041889159,0.0,500.0,0.0,False,False,0.0,0.8254366488673099,4.12718324433655,False,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,False,0.0,False,True,True,{},"{'source': 'simulink', 'load_consumption_w': 498.9682041889159, 'max_safe_discharge_w': 473.9682041889159, 'max_safe_charge_w': 0.0, 'source_power_limit_w': 500.0, 'source_deficit_w': 0.0, 'source_support_needed': False, 'source_support_active': False, 'source_support_target_w': 0.0, 'bus_voltage_error_v': 0.8254366488673099, 'bus_voltage_support_w': 4.12718324433655, 'bus_voltage_support_active': False, 'bus_support_integral_error_v': 0.0, 'bus_support_integral_v_s': 0.0, 'bus_support_integral_w': 0.0, 'bus_support_integral_context_active': False, 'bus_support_integral_gain_w_per_v_s': 0.0, 'bus_support_integral_max_w': 20.0, 'bus_support_integral_leak_per_s': 0.25, 'bus_support_integral_deadband_v': 0.25, 'bus_support_trim_error_v': 0.0, 'bus_support_trim_source_slack_w': 0.0, 'bus_support_trim_w': 0.0, 'bus_support_trim_gain_w_per_v_s': 0.0, 'bus_support_trim_max_w': 12.0, 'bus_support_trim_decay_w_per_s': 0.25, 'bus_support_trim_deadband_v': 0.25, 'bus_support_trim_source_slack_deadband_w': 2.0, 'bus_support_target_unslewed_w': 0.0, 'bus_support_target_slew_active': False, 'bus_support_target_slew_down_w_per_s': 0.0, 'bus_support_target_w': 0.0, 'bus_support_min_w': 150.0, 'bus_support_gain_w_per_v': 5.0, 'source_support_entry_margin_w': 5.0, 'source_support_clear_margin_w': 1.0, 'source_support_bus_hysteresis_v': 5.0, 'source_support_hold_s': 3.0, 'source_backfeed_guard_enabled': True, 'source_min_power_w': 0.0, 'source_power_margin_w': 25.0, 'charge_headroom_guard_enabled': True, 'charge_power_margin_w': 25.0, 'charge_resume_bus_v': 385.0, 'charge_blocked_until_s': 0.0, 'post_discharge_charge_hold_s': 10.0, 'block_discharge_below_soc_min': True, 'allow_source_support_below_soc_min': True}",DISCHARGE,480.0,True,LLM: SOC below soc_min and source has headroom,HOLD,0.0,True,LLM: SOC below soc_min and source has headroom; blocked discharge because SOC is below the target minimum (15.00% <= 40.00%) and neither bus voltage nor source overload requires support,blocked discharge because SOC is below the target minimum (15.00% <= 40.00%) and neither bus voltage nor source overload requires support,SOC 15.00% below target minimum 40.00%
5,running,56.247,15.0,399.9341348441683,273.7113402061858,0.0,0.0,-499.91766855521035,499.91766855521035,499.99999999999994,474.91766855521035,0.0,500.0,0.0,False,False,0.0,0.06586515583171604,0.3293257791585802,False,0.0,0.0,0.0,False,0.0,5.684341886080802e-14,0.0,0.0,False,0.0,False,False,True,{},"{'source': 'simulink', 'load_consumption_w': 499.91766855521035, 'max_safe_discharge_w': 474.91766855521035, 'max_safe_charge_w': 0.0, 'source_power_limit_w': 500.0, 'source_deficit_w': 0.0, 'source_support_needed': False, 'source_support_active': False, 'source_support_target_w': 0.0, 'bus_voltage_error_v': 0.06586515583171604, 'bus_voltage_support_w': 0.3293257791585802, 'bus_voltage_support_active': False, 'bus_support_integral_error_v': 0.0, 'bus_support_integral_v_s': 0.0, 'bus_support_integral_w': 0.0, 'bus_support_integral_context_active': False, 'bus_support_integral_gain_w_per_v_s': 0.0, 'bus_support_integral_max_w': 20.0, 'bus_support_integral_leak_per_s': 0.25, 'bus_support_integral_deadband_v': 0.25, 'bus_support_trim_error_v': 0.0, 'bus_support_trim_source_slack_w': 5.684341886080802e-14, 'bus_support_trim_w': 0.0, 'bus_support_trim_gain_w_per_v_s': 0.0, 'bus_support_trim_max_w': 12.0, 'bus_support_trim_decay_w_per_s': 0.25, 'bus_support_trim_deadband_v': 0.25, 'bus_support_trim_source_slack_deadband_w': 2.0, 'bus_support_target_unslewed_w': 0.0, 'bus_support_target_slew_active': False, 'bus_support_target_slew_down_w_per_s': 0.0, 'bus_support_target_w': 0.0, 'bus_support_min_w': 150.0, 'bus_support_gain_w_per_v': 5.0, 'source_support_entry_margin_w': 5.0, 'source_support_clear_margin_w': 1.0, 'source_support_bus_hysteresis_v': 5.0, 'source_support_hold_s': 3.0, 'source_backfeed_guard_enabled': True, 'source_min_power_w': 0.0, 'source_power_margin_w': 25.0, 'charge_headroom_guard_enabled': True, 'charge_power_margin_w': 25.0, 'charge_resume_bus_v': 385.0, 'charge_blocked_until_s': 0.0, 'post_discharge_charge_hold_s': 10.0, 'block_discharge_below_soc_min': True, 'allow_source_support_below_soc_min': True}",DISCHARGE,480.0,True,LLM: SOC below soc_min and source has headroom,HOLD,0.0,True,LLM: SOC below soc_min and source has headroom; blocked discharge because SOC is below the target minimum (15.00% <= 40.00%) and neither bus voltage nor source overload requires support,blocked discharge because SOC is below the target minimum (15.00% <= 40.00%) and neither bus voltage nor source overload requires support,SOC 15.00% below target minimum 40.00%
6,running,59.819,15.000000002235174,399.9929490526138,273.7113402061858,0.0,0.0,-499.99118631576727,499.99118631576727,500.0,474.99118631576727,0.0,500.0,0.0,False,False,0.0,0.007050947386176176,0.03525473693088088,False,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,False,0.0,False,True,True,{},"{'source': 'simulink', 'load_consumption_w': 499.99118631576727, 'max_safe_discharge_w': 474.99118631576727, 'max_safe_charge_w': 0.0, 'source_power_limit_w': 500.0, 'source_deficit_w': 0.0, 'source_support_needed': False, 'source_support_active': False, 'source_support_target_w': 0.0, 'bus_voltage_error_v': 0.007050947386176176, 'bus_voltage_support_w': 0.03525473693088088, 'bus_voltage_support_active': False, 'bus_support_integral_error_v': 0.0, 'bus_support_integral_v_s': 0.0, 'bus_support_integral_w': 0.0, 'bus_support_integral_context_active': False, 'bus_support_integral_gain_w_per_v_s': 0.0, 'bus_support_integral_max_w': 20.0, 'bus_support_integral_leak_per_s': 0.25, 'bus_support_integral_deadband_v': 0.25, 'bus_support_trim_error_v': 0.0, 'bus_support_trim_source_slack_w': 0.0, 'bus_support_trim_w': 0.0, 'bus_support_trim_gain_w_per_v_s': 0.0, 'bus_support_trim_max_w': 12.0, 'bus_support_trim_decay_w_per_s': 0.25, 'bus_support_trim_deadband_v': 0.25, 'bus_support_trim_source_slack_deadband_w': 2.0, 'bus_support_target_unslewed_w': 0.0, 'bus_support_target_slew_active': False, 'bus_support_target_slew_down_w_per_s': 0.0, 'bus_support_target_w': 0.0, 'bus_support_min_w': 150.0, 'bus_support_gain_w_per_v': 5.0, 'source_support_entry_margin_w': 5.0, 'source_support_clear_margin_w': 1.0, 'source_support_bus_hysteresis_v': 5.0, 'source_support_hold_s': 3.0, 'source_backfeed_guard_enabled': True, 'source_min_power_w': 0.0, 'source_power_margin_w': 25.0, 'charge_headroom_guard_enabled': True, 'charge_power_margin_w': 25.0, 'charge_resume_bus_v': 385.0, 'charge_blocked_until_s': 0.0, 'post_discharge_charge_hold_s': 10.0, 'block_discharge_below_soc_min': True, 'allow_source_support_below_soc_min': True}",DISCHARGE,480.0,True,LLM: SOC below soc_min and source has headroom,HOLD,0.0,True,LLM: SOC below soc_min and source has headroom; blocked discharge because SOC is below the target minimum (15.00% <= 40.00%) and neither bus voltage nor source overload requires support,blocked discharge because SOC is below the target minimum (15.00% <= 40.00%) and neither bus voltage nor source overload requires support,SOC 15.00% below target minimum 40.00%
7,running,63.431000000000004,15.0,399.9992637572632,273.7113402061858,0.0,0.0,-499.999079696579,499.999079696579,500.0,474.999079696579,0.0,500.0,0.0,False,False,0.0,0.0007362427368207136,0.003681213684103568,False,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,False,0.0,False,True,True,{},"{'source': 'simulink', 'load_consumption_w': 499.999079696579, 'max_safe_discharge_w': 474.999079696579, 'max_safe_charge_w': 0.0, 'source_power_limit_w': 500.0, 'source_deficit_w': 0.0, 'source_support_needed': False, 'source_support_active': False, 'source_support_target_w': 0.0, 'bus_voltage_error_v': 0.0007362427368207136, 'bus_voltage_support_w': 0.003681213684103568, 'bus_voltage_support_active': False, 'bus_support_integral_error_v': 0.0, 'bus_support_integral_v_s': 0.0, 'bus_support_integral_w': 0.0, 'bus_support_integral_context_active': False, 'bus_support_integral_gain_w_per_v_s': 0.0, 'bus_support_integral_max_w': 20.0, 'bus_support_integral_leak_per_s': 0.25, 'bus_support_integral_deadband_v': 0.25, 'bus_support_trim_error_v': 0.0, 'bus_support_trim_source_slack_w': 0.0, 'bus_support_trim_w': 0.0, 'bus_support_trim_gain_w_per_v_s': 0.0, 'bus_support_trim_max_w': 12.0, 'bus_support_trim_decay_w_per_s': 0.25, 'bus_support_trim_deadband_v': 0.25, 'bus_support_trim_source_slack_deadband_w': 2.0, 'bus_support_target_unslewed_w': 0.0, 'bus_support_target_slew_active': False, 'bus_support_target_slew_down_w_per_s': 0.0, 'bus_support_target_w': 0.0, 'bus_support_min_w': 150.0, 'bus_support_gain_w_per_v': 5.0, 'source_support_entry_margin_w': 5.0, 'source_support_clear_margin_w': 1.0, 'source_support_bus_hysteresis_v': 5.0, 'source_support_hold_s': 3.0, 'source_backfeed_guard_enabled': True, 'source_min_power_w': 0.0, 'source_power_margin_w': 25.0, 'charge_headroom_guard_enabled': True, 'charge_power_margin_w': 25.0, 'charge_resume_bus_v': 385.0, 'charge_blocked_until_s': 0.0, 'post_discharge_charge_hold_s': 10.0, 'block_discharge_below_soc_min': True, 'allow_source_support_below_soc_min': True}",DISCHARGE,100.0,True,LLM: SOC below soc_min and source has headroom,HOLD,0.0,True,LLM: SOC below soc_min and source has headroom; blocked discharge because SOC is below the target minimum (15.00% <= 40.00%) and neither bus voltage nor source overload requires support,blocked discharge because SOC is below the target minimum (15.00% <= 40.00%) and neither bus voltage nor source overload requires support,SOC 15.00% below target minimum 40.00%
8,running,67.169,15.0,399.99992894693696,273.7113402061858,0.0,0.0,-499.9999111836712,499.9999111836712,500.0,474.9999111836712,0.0,500.0,0.0,False,False,0.0,7.105306303856196e-05,0.0003552653151928098,False,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,False,0.0,False,True,True,{},"{'source': 'simulink', 'load_consumption_w': 499.9999111836712, 'max_safe_discharge_w': 474.9999111836712, 'max_safe_charge_w': 0.0, 'source_power_limit_w': 500.0, 'source_deficit_w': 0.0, 'source_support_needed': False, 'source_support_active': False, 'source_support_target_w': 0.0, 'bus_voltage_error_v': 7.105306303856196e-05, 'bus_voltage_support_w': 0.0003552653151928098, 'bus_voltage_support_active': False, 'bus_support_integral_error_v': 0.0, 'bus_support_integral_v_s': 0.0, 'bus_support_integral_w': 0.0, 'bus_support_integral_context_active': False, 'bus_support_integral_gain_w_per_v_s': 0.0, 'bus_support_integral_max_w': 20.0, 'bus_support_integral_leak_per_s': 0.25, 'bus_support_integral_deadband_v': 0.25, 'bus_support_trim_error_v': 0.0, 'bus_support_trim_source_slack_w': 0.0, 'bus_support_trim_w': 0.0, 'bus_support_trim_gain_w_per_v_s': 0.0, 'bus_support_trim_max_w': 12.0, 'bus_support_trim_decay_w_per_s': 0.25, 'bus_support_trim_deadband_v': 0.25, 'bus_support_trim_source_slack_deadband_w': 2.0, 'bus_support_target_unslewed_w': 0.0, 'bus_support_target_slew_active': False, 'bus_support_target_slew_down_w_per_s': 0.0, 'bus_support_target_w': 0.0, 'bus_support_min_w': 150.0, 'bus_support_gain_w_per_v': 5.0, 'source_support_entry_margin_w': 5.0, 'source_support_clear_margin_w': 1.0, 'source_support_bus_hysteresis_v': 5.0, 'source_support_hold_s': 3.0, 'source_backfeed_guard_enabled': True, 'source_min_power_w': 0.0, 'source_power_margin_w': 25.0, 'charge_headroom_guard_enabled': True, 'charge_power_margin_w': 25.0, 'charge_resume_bus_v': 385.0, 'charge_blocked_until_s': 0.0, 'post_discharge_charge_hold_s': 10.0, 'block_discharge_below_soc_min': True, 'allow_source_support_below_soc_min': True}",DISCHARGE,100.0,True,LLM: SOC below soc_min and source has headroom,HOLD,0.0,True,LLM: SOC below soc_min and source has headroom; blocked discharge because SOC is below the target minimum (15.00% <= 40.00%) and neither bus voltage nor source overload requires support,blocked discharge because SOC is below the target minimum (15.00% <= 40.00%) and neither bus voltage nor source overload requires support,SOC 15.00% below target minimum 40.00%
9,running,70.688,15.0,399.999992131251,273.7113402061858,0.0,0.0,-499.9999901640638,499.9999901640638,500.0,474.9999901640638,0.0,500.0,0.0,False,False,0.0,7.868748980399687e-06,3.9343744901998434e-05,False,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,False,0.0,False,True,True,{},"{'source': 'simulink', 'load_consumption_w': 499.9999901640638, 'max_safe_discharge_w': 474.9999901640638, 'max_safe_charge_w': 0.0, 'source_power_limit_w': 500.0, 'source_deficit_w': 0.0, 'source_support_needed': False, 'source_support_active': False, 'source_support_target_w': 0.0, 'bus_voltage_error_v': 7.868748980399687e-06, 'bus_voltage_support_w': 3.9343744901998434e-05, 'bus_voltage_support_active': False, 'bus_support_integral_error_v': 0.0, 'bus_support_integral_v_s': 0.0, 'bus_support_integral_w': 0.0, 'bus_support_integral_context_active': False, 'bus_support_integral_gain_w_per_v_s': 0.0, 'bus_support_integral_max_w': 20.0, 'bus_support_integral_leak_per_s': 0.25, 'bus_support_integral_deadband_v': 0.25, 'bus_support_trim_error_v': 0.0, 'bus_support_trim_source_slack_w': 0.0, 'bus_support_trim_w': 0.0, 'bus_support_trim_gain_w_per_v_s': 0.0, 'bus_support_trim_max_w': 12.0, 'bus_support_trim_decay_w_per_s': 0.25, 'bus_support_trim_deadband_v': 0.25, 'bus_support_trim_source_slack_deadband_w': 2.0, 'bus_support_target_unslewed_w': 0.0, 'bus_support_target_slew_active': False, 'bus_support_target_slew_down_w_per_s': 0.0, 'bus_support_target_w': 0.0, 'bus_support_min_w': 150.0, 'bus_support_gain_w_per_v': 5.0, 'source_support_entry_margin_w': 5.0, 'source_support_clear_margin_w': 1.0, 'source_support_bus_hysteresis_v': 5.0, 'source_support_hold_s': 3.0, 'source_backfeed_guard_enabled': True, 'source_min_power_w': 0.0, 'source_power_margin_w': 25.0, 'charge_headroom_guard_enabled': True, 'charge_power_margin_w': 25.0, 'charge_resume_bus_v': 385.0, 'charge_blocked_until_s': 0.0, 'post_discharge_charge_hold_s': 10.0, 'block_discharge_below_soc_min': True, 'allow_source_support_below_soc_min': True}",HOLD,0.0,True,LLM: SOC and Vbus are inside their target bands and source_overload_w=0,HOLD,0.0,True,LLM: SOC and Vbus are inside their target bands and source_overload_w=0,none,SOC 15.00% below target minimum 40.00%
