sim_time_s,v_bus_v,soc_pct,i_batt_a,p_batt_w,p_load_w,p_source_w,source_at_limit,p_batt_ref_w,state_code,charge_headroom_w,p_load_nominal_w,voltage_error_v,llm_mode_code,llm_requested_power_w,llm_command_valid,llm_command_seq,llm_command_age_s
0,400,15,-0.0263157894736842,0,-200,0,0,-100,1,275,200,0,NaN,NaN,NaN,NaN,NaN
0.001,399.999999473684,15.0000000185184,-0.0500000000657895,-9.12593356242841,-199.999999736842,2.21052624447291e-05,0,-100,1,275,200,0,NaN,NaN,NaN,NaN,NaN
0.002,399.894736292106,15.0000000570734,-0.071334561824881,-19.0050059065328,-199.947368146053,4.41991333685277,0,-100,1,275,200,0,NaN,NaN,NaN,NaN,NaN
0.003,399.784736292867,15.0000001120509,-0.0905487296380452,-27.1058504655271,-199.892368146433,9.24662533148214,0,-100,1,275,200,0,NaN,NaN,NaN,NaN,NaN
0.004,399.672679911752,15.0000001818023,-0.1078540464637,-34.396677723666,-199.836339955876,14.3767254767033,0,-100,1,275,200,0,NaN,NaN,NaN,NaN,NaN
0.005,399.559195963445,15.0000002648449,-0.123441033264348,-40.9581522291693,-199.779597981723,19.7876353634822,0,-100,1,275,200,0,NaN,NaN,NaN,NaN,NaN
0.006,399.444819401917,15.0000003598452,-0.137481106581126,-46.863261194515,-199.722409700959,25.4595035821022,0,-100,1,275,200,0,NaN,NaN,NaN,NaN,NaN
0.007,399.330035928239,15.0000004656039,-0.150128501755809,-52.1776828991651,-199.665017964119,31.3735203532629,0,-100,1,275,200,0,NaN,NaN,NaN,NaN,NaN
0.008,399.215287153725,15.0000005810422,-0.161522005455276,-56.960519788288,-199.607643576863,37.5117983890353,0,-100,1,275,200,0,NaN,NaN,NaN,NaN,NaN
0.009,399.100974535549,15.0000007051898,-0.171786511620991,-61.2649575986889,-199.550487267775,43.8572945638753,0,-100,1,275,200,0,NaN,NaN,NaN,NaN,NaN
0.01,398.987462906623,15.000000837174,-0.181034419084938,-65.1388582733978,-199.493731453312,50.393740459299,0,-100,1,275,200,0.0125370933768636,NaN,NaN,NaN,NaN,NaN
0.011,398.875083655796,15.0000009762095,-0.189366887271357,-68.6252933442129,-199.437541827898,57.1055803145243,0,-100,1,275,200,0.124916344204166,NaN,NaN,NaN,NaN,NaN
0.012,398.764137594518,15.0000011215899,-0.196874964646653,-71.7630237822873,-199.382068797259,63.9779156227704,0,-100,1,275,200,0.235862405482465,NaN,NaN,NaN,NaN,NaN
0.013,398.654897542201,15.0000012726799,-0.203640603018118,-74.5869317076057,-199.327448771101,70.9964556935472,0,-100,1,275,200,0.345102457798532,NaN,NaN,NaN,NaN,NaN
0.014,398.547610659159,15.0000014289073,-0.209737569395238,-77.1284088017316,-199.27380532958,78.1474735680446,0,-100,1,275,200,0.452389340840568,NaN,NaN,NaN,NaN,NaN
0.015,398.442500552952,15.0000015897579,-0.215232265894324,-79.4157057778386,-199.221250276476,85.417766736885,0,-100,1,275,200,0.557499447048031,NaN,NaN,NaN,NaN,NaN
0.016,398.339769181381,15.0000017547691,-0.220184467069587,-81.4742468219026,-199.16988459069,92.7946221615267,0,-100,1,275,200,0.660230818619027,NaN,NaN,NaN,NaN,NaN
0.017,398.239598572896,15.0000019235243,-0.224647983075797,-83.3269125237146,-199.119799286448,100.265785152505,0,-100,1,275,200,0.760401427104114,NaN,NaN,NaN,NaN,NaN
