tick_index,status,sim_time_s,soc_pct,v_bus_v,v_batt_v,i_batt_a,p_batt_w,p_load_w,load_consumption_w,p_source_w,max_safe_discharge_w,max_safe_charge_w,source_power_limit_w,source_deficit_w,source_support_needed,source_support_active,source_support_target_w,bus_voltage_error_v,bus_voltage_support_w,bus_voltage_support_active,bus_support_integral_error_v,bus_support_integral_v_s,bus_support_integral_w,bus_support_integral_context_active,bus_support_trim_error_v,bus_support_trim_source_slack_w,bus_support_trim_w,bus_support_target_unslewed_w,bus_support_target_slew_active,bus_support_target_w,source_can_sink_power,source_at_limit,source_available,fault_flags,observation_extra,policy_mode,policy_p_batt_cmd_w,policy_command_enable,policy_command_reason,command_mode,p_batt_cmd_w,command_enable,command_reason,constraint_note,violations
0,running,0.0,15.0,400.0,300.0,0.0,0.0,-200.0,200.0,0.0,0.0,275.0,500.0,0.0,False,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,0.0,500.0,0.0,0.0,False,0.0,False,False,True,{},"{'state_code': 3, 'load_consumption_w': 200.0, 'max_safe_discharge_w': 0.0, 'max_safe_charge_w': 275.0, 'source_power_limit_w': 500.0, 'source_deficit_w': 0.0, 'source_support_needed': False, 'source_support_active': False, 'source_support_target_w': 0.0, 'bus_voltage_error_v': 0.0, 'bus_voltage_support_w': 0.0, 'bus_voltage_support_active': False, 'bus_support_integral_error_v': 0.0, 'bus_support_integral_v_s': 0.0, 'bus_support_integral_w': 0.0, 'bus_support_integral_context_active': False, 'bus_support_integral_gain_w_per_v_s': 0.0, 'bus_support_integral_max_w': 20.0, 'bus_support_integral_leak_per_s': 0.25, 'bus_support_integral_deadband_v': 0.25, 'bus_support_trim_error_v': 0.0, 'bus_support_trim_source_slack_w': 500.0, 'bus_support_trim_w': 0.0, 'bus_support_trim_gain_w_per_v_s': 0.0, 'bus_support_trim_max_w': 12.0, 'bus_support_trim_decay_w_per_s': 0.25, 'bus_support_trim_deadband_v': 0.25, 'bus_support_trim_source_slack_deadband_w': 2.0, 'bus_support_target_unslewed_w': 0.0, 'bus_support_target_slew_active': False, 'bus_support_target_slew_down_w_per_s': 0.0, 'bus_support_target_w': 0.0, 'bus_support_min_w': 150.0, 'bus_support_gain_w_per_v': 5.0, 'source_support_entry_margin_w': 5.0, 'source_support_clear_margin_w': 1.0, 'source_support_bus_hysteresis_v': 5.0, 'source_support_hold_s': 3.0, 'source_backfeed_guard_enabled': True, 'source_min_power_w': 0.0, 'source_power_margin_w': 25.0, 'charge_headroom_guard_enabled': True, 'charge_power_margin_w': 25.0, 'charge_resume_bus_v': 385.0, 'charge_blocked_until_s': 0.0, 'post_discharge_charge_hold_s': 0.0, 'block_discharge_below_soc_min': True, 'allow_source_support_below_soc_min': True}",HOLD,0.0,True,startup grace period; holding battery command while model settles,HOLD,0.0,True,startup grace period; holding battery command while model settles,none,SOC 15.00% below target minimum 40.00%
1,running,10.0,15.0,400.00000000000114,273.7113402061858,0.0,0.0,-200.00000000000057,200.00000000000057,199.99999999550124,174.99999999550124,274.99999999999943,500.0,0.0,False,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,0.0,300.00000000449876,0.0,0.0,False,0.0,False,False,True,{},"{'state_code': 0, 'load_consumption_w': 200.00000000000057, 'max_safe_discharge_w': 174.99999999550124, 'max_safe_charge_w': 274.99999999999943, 'source_power_limit_w': 500.0, 'source_deficit_w': 0.0, 'source_support_needed': False, 'source_support_active': False, 'source_support_target_w': 0.0, 'bus_voltage_error_v': 0.0, 'bus_voltage_support_w': 0.0, 'bus_voltage_support_active': False, 'bus_support_integral_error_v': 0.0, 'bus_support_integral_v_s': 0.0, 'bus_support_integral_w': 0.0, 'bus_support_integral_context_active': False, 'bus_support_integral_gain_w_per_v_s': 0.0, 'bus_support_integral_max_w': 20.0, 'bus_support_integral_leak_per_s': 0.25, 'bus_support_integral_deadband_v': 0.25, 'bus_support_trim_error_v': 0.0, 'bus_support_trim_source_slack_w': 300.00000000449876, 'bus_support_trim_w': 0.0, 'bus_support_trim_gain_w_per_v_s': 0.0, 'bus_support_trim_max_w': 12.0, 'bus_support_trim_decay_w_per_s': 0.25, 'bus_support_trim_deadband_v': 0.25, 'bus_support_trim_source_slack_deadband_w': 2.0, 'bus_support_target_unslewed_w': 0.0, 'bus_support_target_slew_active': False, 'bus_support_target_slew_down_w_per_s': 0.0, 'bus_support_target_w': 0.0, 'bus_support_min_w': 150.0, 'bus_support_gain_w_per_v': 5.0, 'source_support_entry_margin_w': 5.0, 'source_support_clear_margin_w': 1.0, 'source_support_bus_hysteresis_v': 5.0, 'source_support_hold_s': 3.0, 'source_backfeed_guard_enabled': True, 'source_min_power_w': 0.0, 'source_power_margin_w': 25.0, 'charge_headroom_guard_enabled': True, 'charge_power_margin_w': 25.0, 'charge_resume_bus_v': 385.0, 'charge_blocked_until_s': 0.0, 'post_discharge_charge_hold_s': 0.0, 'block_discharge_below_soc_min': True, 'allow_source_support_below_soc_min': True}",CHARGE,-100.0,True,LLM: SOC below target and source has charging headroom,CHARGE,-100.0,True,LLM: SOC below target and source has charging headroom,none,SOC 15.00% below target minimum 40.00%
2,running,20.0,15.00137471449939,400.0000000000032,274.4426753329136,-0.26315789473683987,-100.0000001383665,-200.0000000000016,200.0000000000016,305.2631578901536,175.0000000000016,274.9999999999984,500.0,0.0,False,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,0.0,194.7368421098464,0.0,0.0,False,0.0,False,False,True,{},"{'state_code': 1, 'load_consumption_w': 200.0000000000016, 'max_safe_discharge_w': 175.0000000000016, 'max_safe_charge_w': 274.9999999999984, 'source_power_limit_w': 500.0, 'source_deficit_w': 0.0, 'source_support_needed': False, 'source_support_active': False, 'source_support_target_w': 0.0, 'bus_voltage_error_v': 0.0, 'bus_voltage_support_w': 0.0, 'bus_voltage_support_active': False, 'bus_support_integral_error_v': 0.0, 'bus_support_integral_v_s': 0.0, 'bus_support_integral_w': 0.0, 'bus_support_integral_context_active': False, 'bus_support_integral_gain_w_per_v_s': 0.0, 'bus_support_integral_max_w': 20.0, 'bus_support_integral_leak_per_s': 0.25, 'bus_support_integral_deadband_v': 0.25, 'bus_support_trim_error_v': 0.0, 'bus_support_trim_source_slack_w': 194.7368421098464, 'bus_support_trim_w': 0.0, 'bus_support_trim_gain_w_per_v_s': 0.0, 'bus_support_trim_max_w': 12.0, 'bus_support_trim_decay_w_per_s': 0.25, 'bus_support_trim_deadband_v': 0.25, 'bus_support_trim_source_slack_deadband_w': 2.0, 'bus_support_target_unslewed_w': 0.0, 'bus_support_target_slew_active': False, 'bus_support_target_slew_down_w_per_s': 0.0, 'bus_support_target_w': 0.0, 'bus_support_min_w': 150.0, 'bus_support_gain_w_per_v': 5.0, 'source_support_entry_margin_w': 5.0, 'source_support_clear_margin_w': 1.0, 'source_support_bus_hysteresis_v': 5.0, 'source_support_hold_s': 3.0, 'source_backfeed_guard_enabled': True, 'source_min_power_w': 0.0, 'source_power_margin_w': 25.0, 'charge_headroom_guard_enabled': True, 'charge_power_margin_w': 25.0, 'charge_resume_bus_v': 385.0, 'charge_blocked_until_s': 0.0, 'post_discharge_charge_hold_s': 0.0, 'block_discharge_below_soc_min': True, 'allow_source_support_below_soc_min': True}",CHARGE,-100.0,True,LLM: SOC below target and source has charging headroom,CHARGE,-100.0,True,LLM: SOC below target and source has charging headroom,none,SOC 15.00% below target minimum 40.00%
3,running,30.0,15.003399005047314,399.9999999999999,274.4464722142944,-0.26315789473684204,-100.00000013832928,-199.99999999999994,199.99999999999994,305.2631578902852,174.99999999999994,275.00000000000006,500.0,0.0,False,False,0.0,1.1368683772161603e-13,5.684341886080801e-13,False,0.0,0.0,0.0,False,0.0,194.73684210971481,0.0,0.0,False,0.0,False,False,True,{},"{'state_code': 1, 'load_consumption_w': 199.99999999999994, 'max_safe_discharge_w': 174.99999999999994, 'max_safe_charge_w': 275.00000000000006, 'source_power_limit_w': 500.0, 'source_deficit_w': 0.0, 'source_support_needed': False, 'source_support_active': False, 'source_support_target_w': 0.0, 'bus_voltage_error_v': 1.1368683772161603e-13, 'bus_voltage_support_w': 5.684341886080801e-13, 'bus_voltage_support_active': False, 'bus_support_integral_error_v': 0.0, 'bus_support_integral_v_s': 0.0, 'bus_support_integral_w': 0.0, 'bus_support_integral_context_active': False, 'bus_support_integral_gain_w_per_v_s': 0.0, 'bus_support_integral_max_w': 20.0, 'bus_support_integral_leak_per_s': 0.25, 'bus_support_integral_deadband_v': 0.25, 'bus_support_trim_error_v': 0.0, 'bus_support_trim_source_slack_w': 194.73684210971481, 'bus_support_trim_w': 0.0, 'bus_support_trim_gain_w_per_v_s': 0.0, 'bus_support_trim_max_w': 12.0, 'bus_support_trim_decay_w_per_s': 0.25, 'bus_support_trim_deadband_v': 0.25, 'bus_support_trim_source_slack_deadband_w': 2.0, 'bus_support_target_unslewed_w': 0.0, 'bus_support_target_slew_active': False, 'bus_support_target_slew_down_w_per_s': 0.0, 'bus_support_target_w': 0.0, 'bus_support_min_w': 150.0, 'bus_support_gain_w_per_v': 5.0, 'source_support_entry_margin_w': 5.0, 'source_support_clear_margin_w': 1.0, 'source_support_bus_hysteresis_v': 5.0, 'source_support_hold_s': 3.0, 'source_backfeed_guard_enabled': True, 'source_min_power_w': 0.0, 'source_power_margin_w': 25.0, 'charge_headroom_guard_enabled': True, 'charge_power_margin_w': 25.0, 'charge_resume_bus_v': 385.0, 'charge_blocked_until_s': 0.0, 'post_discharge_charge_hold_s': 0.0, 'block_discharge_below_soc_min': True, 'allow_source_support_below_soc_min': True}",CHARGE,-100.0,True,LLM: SOC below target and source has charging headroom,CHARGE,-100.0,True,LLM: SOC below target and source has charging headroom,none,SOC 15.00% below target minimum 40.00%
4,running,40.0,15.005423267588995,399.99999999999966,274.45026812459014,-0.2631578947368422,-100.00000013829187,-199.99999999999983,199.99999999999983,305.263157890301,174.99999999999983,275.00000000000017,500.0,0.0,False,False,0.0,3.410605131648481e-13,1.7053025658242404e-12,False,0.0,0.0,0.0,False,0.0,194.736842109699,0.0,0.0,False,0.0,False,False,True,{},"{'state_code': 1, 'load_consumption_w': 199.99999999999983, 'max_safe_discharge_w': 174.99999999999983, 'max_safe_charge_w': 275.00000000000017, 'source_power_limit_w': 500.0, 'source_deficit_w': 0.0, 'source_support_needed': False, 'source_support_active': False, 'source_support_target_w': 0.0, 'bus_voltage_error_v': 3.410605131648481e-13, 'bus_voltage_support_w': 1.7053025658242404e-12, 'bus_voltage_support_active': False, 'bus_support_integral_error_v': 0.0, 'bus_support_integral_v_s': 0.0, 'bus_support_integral_w': 0.0, 'bus_support_integral_context_active': False, 'bus_support_integral_gain_w_per_v_s': 0.0, 'bus_support_integral_max_w': 20.0, 'bus_support_integral_leak_per_s': 0.25, 'bus_support_integral_deadband_v': 0.25, 'bus_support_trim_error_v': 0.0, 'bus_support_trim_source_slack_w': 194.736842109699, 'bus_support_trim_w': 0.0, 'bus_support_trim_gain_w_per_v_s': 0.0, 'bus_support_trim_max_w': 12.0, 'bus_support_trim_decay_w_per_s': 0.25, 'bus_support_trim_deadband_v': 0.25, 'bus_support_trim_source_slack_deadband_w': 2.0, 'bus_support_target_unslewed_w': 0.0, 'bus_support_target_slew_active': False, 'bus_support_target_slew_down_w_per_s': 0.0, 'bus_support_target_w': 0.0, 'bus_support_min_w': 150.0, 'bus_support_gain_w_per_v': 5.0, 'source_support_entry_margin_w': 5.0, 'source_support_clear_margin_w': 1.0, 'source_support_bus_hysteresis_v': 5.0, 'source_support_hold_s': 3.0, 'source_backfeed_guard_enabled': True, 'source_min_power_w': 0.0, 'source_power_margin_w': 25.0, 'charge_headroom_guard_enabled': True, 'charge_power_margin_w': 25.0, 'charge_resume_bus_v': 385.0, 'charge_blocked_until_s': 0.0, 'post_discharge_charge_hold_s': 0.0, 'block_discharge_below_soc_min': True, 'allow_source_support_below_soc_min': True}",CHARGE,-100.0,True,LLM: SOC below target and source has charging headroom,CHARGE,-100.0,True,LLM: SOC below target and source has charging headroom,none,SOC 15.01% below target minimum 40.00%
5,running,50.0,15.007447502139549,399.99999999999943,274.4540630642013,-0.23026315789473703,-100.00000013825458,-499.9999999999993,499.9999999999993,305.26315789029667,280.26315789029667,0.0,500.0,0.0,False,False,0.0,5.684341886080801e-13,2.8421709430404007e-12,False,0.0,0.0,0.0,False,0.0,194.73684210970333,0.0,0.0,False,0.0,False,False,True,{},"{'state_code': 2, 'load_consumption_w': 499.9999999999993, 'max_safe_discharge_w': 280.26315789029667, 'max_safe_charge_w': 0.0, 'source_power_limit_w': 500.0, 'source_deficit_w': 0.0, 'source_support_needed': False, 'source_support_active': False, 'source_support_target_w': 0.0, 'bus_voltage_error_v': 5.684341886080801e-13, 'bus_voltage_support_w': 2.8421709430404007e-12, 'bus_voltage_support_active': False, 'bus_support_integral_error_v': 0.0, 'bus_support_integral_v_s': 0.0, 'bus_support_integral_w': 0.0, 'bus_support_integral_context_active': False, 'bus_support_integral_gain_w_per_v_s': 0.0, 'bus_support_integral_max_w': 20.0, 'bus_support_integral_leak_per_s': 0.25, 'bus_support_integral_deadband_v': 0.25, 'bus_support_trim_error_v': 0.0, 'bus_support_trim_source_slack_w': 194.73684210970333, 'bus_support_trim_w': 0.0, 'bus_support_trim_gain_w_per_v_s': 0.0, 'bus_support_trim_max_w': 12.0, 'bus_support_trim_decay_w_per_s': 0.25, 'bus_support_trim_deadband_v': 0.25, 'bus_support_trim_source_slack_deadband_w': 2.0, 'bus_support_target_unslewed_w': 0.0, 'bus_support_target_slew_active': False, 'bus_support_target_slew_down_w_per_s': 0.0, 'bus_support_target_w': 0.0, 'bus_support_min_w': 150.0, 'bus_support_gain_w_per_v': 5.0, 'source_support_entry_margin_w': 5.0, 'source_support_clear_margin_w': 1.0, 'source_support_bus_hysteresis_v': 5.0, 'source_support_hold_s': 3.0, 'source_backfeed_guard_enabled': True, 'source_min_power_w': 0.0, 'source_power_margin_w': 25.0, 'charge_headroom_guard_enabled': True, 'charge_power_margin_w': 25.0, 'charge_resume_bus_v': 385.0, 'charge_blocked_until_s': 0.0, 'post_discharge_charge_hold_s': 0.0, 'block_discharge_below_soc_min': True, 'allow_source_support_below_soc_min': True}",DISCHARGE,250.0,True,LLM: SOC below soc_min and source has headroom,HOLD,0.0,True,LLM: SOC below soc_min and source has headroom; blocked discharge because SOC is below the target minimum (15.01% <= 40.00%) and neither bus voltage nor source overload requires support,blocked discharge because SOC is below the target minimum (15.01% <= 40.00%) and neither bus voltage nor source overload requires support,SOC 15.01% below target minimum 40.00%
6,running,60.0,15.006941480384302,399.99999999999864,273.5416054910296,0.059375000000000226,24.99999999127189,-499.9999999999983,499.9999999999983,476.2500000045051,474.9999999999983,0.0,500.0,0.0,False,False,0.0,1.3642420526593924e-12,6.821210263296962e-12,False,0.0,0.0,0.0,False,0.0,23.749999995494875,0.0,0.0,False,0.0,False,False,True,{},"{'state_code': 2, 'load_consumption_w': 499.9999999999983, 'max_safe_discharge_w': 474.9999999999983, 'max_safe_charge_w': 0.0, 'source_power_limit_w': 500.0, 'source_deficit_w': 0.0, 'source_support_needed': False, 'source_support_active': False, 'source_support_target_w': 0.0, 'bus_voltage_error_v': 1.3642420526593924e-12, 'bus_voltage_support_w': 6.821210263296962e-12, 'bus_voltage_support_active': False, 'bus_support_integral_error_v': 0.0, 'bus_support_integral_v_s': 0.0, 'bus_support_integral_w': 0.0, 'bus_support_integral_context_active': False, 'bus_support_integral_gain_w_per_v_s': 0.0, 'bus_support_integral_max_w': 20.0, 'bus_support_integral_leak_per_s': 0.25, 'bus_support_integral_deadband_v': 0.25, 'bus_support_trim_error_v': 0.0, 'bus_support_trim_source_slack_w': 23.749999995494875, 'bus_support_trim_w': 0.0, 'bus_support_trim_gain_w_per_v_s': 0.0, 'bus_support_trim_max_w': 12.0, 'bus_support_trim_decay_w_per_s': 0.25, 'bus_support_trim_deadband_v': 0.25, 'bus_support_trim_source_slack_deadband_w': 2.0, 'bus_support_target_unslewed_w': 0.0, 'bus_support_target_slew_active': False, 'bus_support_target_slew_down_w_per_s': 0.0, 'bus_support_target_w': 0.0, 'bus_support_min_w': 150.0, 'bus_support_gain_w_per_v': 5.0, 'source_support_entry_margin_w': 5.0, 'source_support_clear_margin_w': 1.0, 'source_support_bus_hysteresis_v': 5.0, 'source_support_hold_s': 3.0, 'source_backfeed_guard_enabled': True, 'source_min_power_w': 0.0, 'source_power_margin_w': 25.0, 'charge_headroom_guard_enabled': True, 'charge_power_margin_w': 25.0, 'charge_resume_bus_v': 385.0, 'charge_blocked_until_s': 0.0, 'post_discharge_charge_hold_s': 0.0, 'block_discharge_below_soc_min': True, 'allow_source_support_below_soc_min': True}",DISCHARGE,100.0,True,LLM: SOC below soc_min and source has headroom,HOLD,0.0,True,LLM: SOC below soc_min and source has headroom; blocked discharge because SOC is below the target minimum (15.01% <= 40.00%) and neither bus voltage nor source overload requires support,blocked discharge because SOC is below the target minimum (15.01% <= 40.00%) and neither bus voltage nor source overload requires support,SOC 15.01% below target minimum 40.00%
7,running,70.0,15.006433736296138,399.99999999999886,273.54065045948704,0.0593750000000002,24.999999991271327,-499.9999999999986,499.9999999999986,476.2500000045006,474.9999999999986,0.0,500.0,0.0,False,False,0.0,1.1368683772161603e-12,5.6843418860808015e-12,False,0.0,0.0,0.0,False,0.0,23.749999995499422,0.0,0.0,False,0.0,False,False,True,{},"{'state_code': 2, 'load_consumption_w': 499.9999999999986, 'max_safe_discharge_w': 474.9999999999986, 'max_safe_charge_w': 0.0, 'source_power_limit_w': 500.0, 'source_deficit_w': 0.0, 'source_support_needed': False, 'source_support_active': False, 'source_support_target_w': 0.0, 'bus_voltage_error_v': 1.1368683772161603e-12, 'bus_voltage_support_w': 5.6843418860808015e-12, 'bus_voltage_support_active': False, 'bus_support_integral_error_v': 0.0, 'bus_support_integral_v_s': 0.0, 'bus_support_integral_w': 0.0, 'bus_support_integral_context_active': False, 'bus_support_integral_gain_w_per_v_s': 0.0, 'bus_support_integral_max_w': 20.0, 'bus_support_integral_leak_per_s': 0.25, 'bus_support_integral_deadband_v': 0.25, 'bus_support_trim_error_v': 0.0, 'bus_support_trim_source_slack_w': 23.749999995499422, 'bus_support_trim_w': 0.0, 'bus_support_trim_gain_w_per_v_s': 0.0, 'bus_support_trim_max_w': 12.0, 'bus_support_trim_decay_w_per_s': 0.25, 'bus_support_trim_deadband_v': 0.25, 'bus_support_trim_source_slack_deadband_w': 2.0, 'bus_support_target_unslewed_w': 0.0, 'bus_support_target_slew_active': False, 'bus_support_target_slew_down_w_per_s': 0.0, 'bus_support_target_w': 0.0, 'bus_support_min_w': 150.0, 'bus_support_gain_w_per_v': 5.0, 'source_support_entry_margin_w': 5.0, 'source_support_clear_margin_w': 1.0, 'source_support_bus_hysteresis_v': 5.0, 'source_support_hold_s': 3.0, 'source_backfeed_guard_enabled': True, 'source_min_power_w': 0.0, 'source_power_margin_w': 25.0, 'charge_headroom_guard_enabled': True, 'charge_power_margin_w': 25.0, 'charge_resume_bus_v': 385.0, 'charge_blocked_until_s': 0.0, 'post_discharge_charge_hold_s': 0.0, 'block_discharge_below_soc_min': True, 'allow_source_support_below_soc_min': True}",DISCHARGE,100.0,True,LLM: SOC below soc_min and source has headroom,HOLD,0.0,True,LLM: SOC below soc_min and source has headroom; blocked discharge because SOC is below the target minimum (15.01% <= 40.00%) and neither bus voltage nor source overload requires support,blocked discharge because SOC is below the target minimum (15.01% <= 40.00%) and neither bus voltage nor source overload requires support,SOC 15.01% below target minimum 40.00%
8,running,80.0,15.005925990466542,400.00000000000216,273.53969536669507,0.059374999999999706,24.999999991270702,-500.00000000000273,500.00000000000273,476.2500000043662,475.00000000000273,0.0,500.0,2.7284841053187847e-12,False,False,2.7284841053187847e-12,0.0,0.0,False,0.0,0.0,0.0,False,0.0,23.7499999956338,0.0,2.7284841053187847e-12,False,2.7284841053187847e-12,False,False,True,{},"{'state_code': 2, 'load_consumption_w': 500.00000000000273, 'max_safe_discharge_w': 475.00000000000273, 'max_safe_charge_w': 0.0, 'source_power_limit_w': 500.0, 'source_deficit_w': 2.7284841053187847e-12, 'source_support_needed': False, 'source_support_active': False, 'source_support_target_w': 2.7284841053187847e-12, 'bus_voltage_error_v': 0.0, 'bus_voltage_support_w': 0.0, 'bus_voltage_support_active': False, 'bus_support_integral_error_v': 0.0, 'bus_support_integral_v_s': 0.0, 'bus_support_integral_w': 0.0, 'bus_support_integral_context_active': False, 'bus_support_integral_gain_w_per_v_s': 0.0, 'bus_support_integral_max_w': 20.0, 'bus_support_integral_leak_per_s': 0.25, 'bus_support_integral_deadband_v': 0.25, 'bus_support_trim_error_v': 0.0, 'bus_support_trim_source_slack_w': 23.7499999956338, 'bus_support_trim_w': 0.0, 'bus_support_trim_gain_w_per_v_s': 0.0, 'bus_support_trim_max_w': 12.0, 'bus_support_trim_decay_w_per_s': 0.25, 'bus_support_trim_deadband_v': 0.25, 'bus_support_trim_source_slack_deadband_w': 2.0, 'bus_support_target_unslewed_w': 2.7284841053187847e-12, 'bus_support_target_slew_active': False, 'bus_support_target_slew_down_w_per_s': 0.0, 'bus_support_target_w': 2.7284841053187847e-12, 'bus_support_min_w': 150.0, 'bus_support_gain_w_per_v': 5.0, 'source_support_entry_margin_w': 5.0, 'source_support_clear_margin_w': 1.0, 'source_support_bus_hysteresis_v': 5.0, 'source_support_hold_s': 3.0, 'source_backfeed_guard_enabled': True, 'source_min_power_w': 0.0, 'source_power_margin_w': 25.0, 'charge_headroom_guard_enabled': True, 'charge_power_margin_w': 25.0, 'charge_resume_bus_v': 385.0, 'charge_blocked_until_s': 0.0, 'post_discharge_charge_hold_s': 0.0, 'block_discharge_below_soc_min': True, 'allow_source_support_below_soc_min': True}",DISCHARGE,100.0,True,LLM: SOC below soc_min and source has headroom,HOLD,0.0,True,LLM: SOC below soc_min and source has headroom; blocked discharge because SOC is below the target minimum (15.01% <= 40.00%) and neither bus voltage nor source overload requires support,blocked discharge because SOC is below the target minimum (15.01% <= 40.00%) and neither bus voltage nor source overload requires support,SOC 15.01% below target minimum 40.00%
9,running,90.0,15.005418242831292,399.9999999999993,273.53874021252807,0.05937500000000013,24.99999999127013,-499.99999999999915,499.99999999999915,476.2500000044902,474.99999999999915,0.0,500.0,0.0,False,False,0.0,6.821210263296962e-13,3.410605131648481e-12,False,0.0,0.0,0.0,False,0.0,23.749999995509825,0.0,0.0,False,0.0,False,False,True,{},"{'state_code': 2, 'load_consumption_w': 499.99999999999915, 'max_safe_discharge_w': 474.99999999999915, 'max_safe_charge_w': 0.0, 'source_power_limit_w': 500.0, 'source_deficit_w': 0.0, 'source_support_needed': False, 'source_support_active': False, 'source_support_target_w': 0.0, 'bus_voltage_error_v': 6.821210263296962e-13, 'bus_voltage_support_w': 3.410605131648481e-12, 'bus_voltage_support_active': False, 'bus_support_integral_error_v': 0.0, 'bus_support_integral_v_s': 0.0, 'bus_support_integral_w': 0.0, 'bus_support_integral_context_active': False, 'bus_support_integral_gain_w_per_v_s': 0.0, 'bus_support_integral_max_w': 20.0, 'bus_support_integral_leak_per_s': 0.25, 'bus_support_integral_deadband_v': 0.25, 'bus_support_trim_error_v': 0.0, 'bus_support_trim_source_slack_w': 23.749999995509825, 'bus_support_trim_w': 0.0, 'bus_support_trim_gain_w_per_v_s': 0.0, 'bus_support_trim_max_w': 12.0, 'bus_support_trim_decay_w_per_s': 0.25, 'bus_support_trim_deadband_v': 0.25, 'bus_support_trim_source_slack_deadband_w': 2.0, 'bus_support_target_unslewed_w': 0.0, 'bus_support_target_slew_active': False, 'bus_support_target_slew_down_w_per_s': 0.0, 'bus_support_target_w': 0.0, 'bus_support_min_w': 150.0, 'bus_support_gain_w_per_v': 5.0, 'source_support_entry_margin_w': 5.0, 'source_support_clear_margin_w': 1.0, 'source_support_bus_hysteresis_v': 5.0, 'source_support_hold_s': 3.0, 'source_backfeed_guard_enabled': True, 'source_min_power_w': 0.0, 'source_power_margin_w': 25.0, 'charge_headroom_guard_enabled': True, 'charge_power_margin_w': 25.0, 'charge_resume_bus_v': 385.0, 'charge_blocked_until_s': 0.0, 'post_discharge_charge_hold_s': 0.0, 'block_discharge_below_soc_min': True, 'allow_source_support_below_soc_min': True}",DISCHARGE,100.0,True,LLM: SOC below soc_min and source has headroom,HOLD,0.0,True,LLM: SOC below soc_min and source has headroom; blocked discharge because SOC is below the target minimum (15.01% <= 40.00%) and neither bus voltage nor source overload requires support,blocked discharge because SOC is below the target minimum (15.01% <= 40.00%) and neither bus voltage nor source overload requires support,SOC 15.01% below target minimum 40.00%
