sim_time_s,v_bus_v,soc_pct,i_batt_a,p_batt_w,p_load_w,p_source_w,source_at_limit,p_batt_ref_w,state_code,charge_headroom_w,p_load_nominal_w,voltage_error_v,llm_mode_code,llm_requested_power_w,llm_command_valid,llm_command_seq,llm_command_age_s
0,400,15,0,0,-200,0,0,0,3,275,200,0,99,0,0,0,1.3267034
0.001,399.9999995,15,0,0,-199.99999975,2.09999999207301e-05,0,0,3,275,200,0,99,0,0,0,1.3267034
0.002,399.8999995,15,0,0,-199.94999975,4.19897198924371,0,0,3,275,200,0,99,0,0,0,1.3267034
0.003,399.799999520996,15,0,0,-199.899999760498,8.59572209678929,0,0,3,275,200,0,99,0,0,0,1.3267034
0.004,399.702099542997,15,0,0,-199.851049771498,13.1020571076109,0,0,3,275,200,0,99,0,0,0,1.3267034
0.005,399.606399565337,15,0,0,-199.803199782668,17.7095787188423,0,0,3,275,200,0,99,0,0,0,1.3267034
0.006,399.512955487953,15,0,0,-199.756477743977,22.4115524209063,0,0,3,275,200,0,99,0,0,0,1.3267034
0.007,399.421819010801,15,0,0,-199.7109095054,27.2013201813957,0,0,3,275,200,0,99,0,0,0,1.3267034
0.008,399.333038459929,15,0,0,-199.666519229965,32.0722736767954,0,0,3,275,200,0,99,0,0,0,1.3267034
0.009,399.246658819794,15,0,0,-199.623329409897,37.0178591476066,0,0,3,275,200,0,99,0,0,0,1.3267034
0.01,399.162721752411,15,0,0,-199.581360876205,42.0315827120199,0,0,3,275,200,0,99,0,0,0,1.3267034
0.011,399.081265619187,15,0,0,-199.540632809594,47.1070155038405,0,0,3,275,200,0,99,0,0,0,1.3267034
0.012,399.002325505721,15,0,0,-199.50116275286,52.2377986205437,0,0,3,275,200,0,99,0,0,0,1.3267034
0.013,398.92593324944,15,0,0,-199.46296662472,57.4176478842343,0,0,3,275,200,0.0740667505600641,99,0,0,0,1.3267034
0.014,398.852117470053,15,0,0,-199.426058735026,62.6403584145255,0,0,3,275,200,0.147882529947367,99,0,0,0,1.3267034
0.015,398.78090360265,15,0,0,-199.390451801325,67.8998090173097,0,0,3,275,200,0.219096397349745,99,0,0,0,1.3267034
0.016,398.71231393346,15,0,0,-199.35615696673,73.1899663877027,0,0,3,275,200,0.287686066539607,99,0,0,0,1.3267034
0.017,398.646367638097,15,0,0,-199.323183819049,78.5048891311916,0,0,3,275,200,0.353632361902555,99,0,0,0,1.3267034
0.018,398.58308082225,15,0,0,-199.291540411125,83.8387316035838,0,0,3,275,200,0.416919177749833,99,0,0,0,1.3267034
0.019,398.522466564722,15,0,0,-199.261233282361,89.1857475713263,0,0,3,275,200,0.477533435278303,99,0,0,0,1.3267034
0.02,398.464534962729,15,0,0,-199.232267481365,94.5402936941625,0,0,3,275,200,0.535465037270569,99,0,0,0,1.3267034
0.021,398.409293179341,15,0,0,-199.20464658967,99.8968328334703,0,0,3,275,200,0.59070682065925,99,0,0,0,1.3267034
0.022,398.356745493035,15,0,0,-199.178372746518,105.249937184972,0,0,3,275,200,0.643254506964695,99,0,0,0,1.3267034
0.023,398.306893349208,15,0,0,-199.153446674604,110.594291241749,0,0,3,275,200,0.693106650792004,99,0,0,0,1.3267034
0.024,398.259735413601,15,0,0,-199.1298677068,115.924694586482,0,0,3,275,200,0.740264586399178,99,0,0,0,1.3267034
0.025,398.215267627483,15,0,0,-199.107633813741,121.236064518762,0,0,3,275,200,0.78473237251734,99,0,0,0,1.3267034
0.026,398.173483264617,15,0,0,-199.086741632309,126.523438514332,0,0,3,275,200,0.82651673538254,99,0,0,0,1.3267034
0.027,398.134372989787,15,0,0,-199.067186494893,131.7819765243,0,0,3,275,200,0.865627010213359,99,0,0,0,1.3267034
0.028,398.097924918879,15,0,0,-199.048962459439,137.006963112436,0,0,3,275,200,0.902075081121325,99,0,0,0,1.3267034
0.029,398.064124680397,15,0,0,-199.032062340198,142.193809435199,0,0,3,275,200,0.93587531960344,99,0,0,0,1.3267034
0.03,398.032955478319,15,0,0,-199.016477739159,147.338055065805,0,0,3,275,200,0.967044521681373,99,0,0,0,1.3267034
0.031,398.004398156218,15,0,0,-199.002199078109,152.435369664864,0,0,3,275,200,0.995601843782367,99,0,0,0,1.3267034
0.032,397.978431262558,15,0,0,-198.989215631279,157.481554499556,0,0,3,275,200,1.02156873744195,99,0,0,0,1.3267034
0.033,397.955031117058,15,0,0,-198.977515558529,162.472543814682,0,0,3,275,200,1.04496888294153,99,0,0,0,1.3267034
0.034,397.934171878034,15,0,0,-198.967085939017,167.404406057857,0,0,3,275,200,1.06582812196609,99,0,0,0,1.3267034
0.035,397.915825610646,15,0,0,-198.957912805323,172.273344960572,0,0,3,275,200,1.08417438935385,99,0,0,0,1.3267034
0.036,397.899962356005,15,0,0,-198.949981178003,177.075700476281,0,0,3,275,200,1.10003764399499,99,0,0,0,1.3267034
0.037,397.886550200934,15,0,0,-198.943275100467,181.807949581961,0,0,3,275,200,1.11344979906647,99,0,0,0,1.3267034
0.038,397.875555348423,15,0,0,-198.937777674211,186.466706941089,0,0,3,275,200,1.12444465157711,99,0,0,0,1.3267034
0.039,397.866942188625,15,0,0,-198.933471094313,191.048725433095,0,0,3,275,200,1.13305781137467,99,0,0,0,1.3267034
0.04,397.860673370335,15,0,0,-198.930336685168,195.550896550338,0,0,3,275,200,1.13932662966488,99,0,0,0,1.3267034
0.041,397.856709872843,15,0,0,-198.928354936422,199.970250666287,0,0,3,275,200,1.1432901271566,99,0,0,0,1.3267034
0.042,397.855011078138,15,0,0,-198.927505539069,204.303957175182,0,0,3,275,200,1.14498892186248,99,0,0,0,1.3267034
0.043,397.855534843292,15,0,0,-198.927767421646,208.549324508534,0,0,3,275,200,1.14446515670841,99,0,0,0,1.3267034
0.044,397.858237573039,15,0,0,-198.92911878652,212.703800028038,0,0,3,275,200,1.14176242696061,99,0,0,0,1.3267034
0.045,397.863074292402,15,0,0,-198.931537146201,216.764969799306,0,0,3,275,200,1.13692570759792,99,0,0,0,1.3267034
0.046,397.869998719363,15,0,0,-198.934999359681,220.730558246051,0,0,3,275,200,1.13000128063715,99,0,0,0,1.3267034
0.047,397.8789633374,15,0,0,-198.9394816687,224.598427691695,0,0,3,275,200,1.12103666259969,99,0,0,0,1.3267034
0.048,397.889919467934,15,0,0,-198.944959733967,228.366577785718,0,0,3,275,200,1.11008053206569,99,0,0,0,1.3267034
0.049,397.90281734251,15,0,0,-198.951408671255,232.033144821276,0,0,3,275,200,1.09718265749001,99,0,0,0,1.3267034
0.05,397.91760617475,15,0,0,-198.958803087375,235.59640094245,0,0,3,275,200,1.08239382524999,99,0,0,0,1.3267034
0.051,397.934234231893,15,0,0,-198.967117115946,239.054753248144,0,0,3,275,200,1.06576576810716,99,0,0,0,1.3267034
0.052,397.952648905946,15,0,0,-198.976324452973,242.406742791226,0,0,3,275,200,1.04735109405357,99,0,0,0,1.3267034
0.053,397.972796784362,15,0,0,-198.986398392181,245.651043476499,0,0,3,275,200,1.02720321563771,99,0,0,0,1.3267034
0.054,397.994623720109,15,0,0,-198.997311860055,248.786460862334,0,0,3,275,200,1.00537627989064,99,0,0,0,1.3267034
0.055,398.01807490123,15,0,0,-199.009037450615,251.811930862579,0,0,3,275,200,0.981925098769523,99,0,0,0,1.3267034
0.056,398.043094919641,15,0,0,-199.02154745982,254.726518358518,0,0,3,275,200,0.956905080359434,99,0,0,0,1.3267034
0.057,398.069627839245,15,0,0,-199.034813919623,257.529415717942,0,0,3,275,200,0.930372160754757,99,0,0,0,1.3267034
0.058,398.097617263274,15,0,0,-199.048808631637,260.219941225796,0,0,3,275,200,0.902382736725883,99,0,0,0,1.3267034
0.059,398.127006400791,15,0,0,-199.063503200395,262.797537428307,0,0,3,275,200,0.872993599209224,99,0,0,0,1.3267034
0.06,398.157738132275,15,0,0,-199.078869066137,265.261769395291,0,0,3,275,200,0.842261867725426,99,0,0,0,1.3267034
0.061,398.189755074319,15,0,0,-199.09487753716,267.612322899371,0,0,3,275,200,0.810244925680593,99,0,0,0,1.3267034
0.062,398.222999643311,15,0,0,-199.111499821655,269.849002518322,0,0,3,275,200,0.77700035668903,99,0,0,0,1.3267034
0.063,398.257414118098,15,0,0,-199.128707059049,271.971729660699,0,0,3,275,200,0.742585881902016,99,0,0,0,1.3267034
0.064,398.292940701573,15,0,0,-199.146470350787,273.980540518983,0,0,3,275,200,0.707059298426884,99,0,0,0,1.3267034
0.065,398.329521581143,15,0,0,-199.164760790571,275.875583952062,0,0,3,275,200,0.670478418857044,99,0,0,0,1.3267034
0.066,398.367098988061,15,0,0,-199.18354949403,277.657119299138,0,0,3,275,200,0.632901011939225,99,0,0,0,1.3267034
0.067,398.405615255509,15,0,0,-199.202807627755,279.325514130826,0,0,3,275,200,0.594384744490924,99,0,0,0,1.3267034
0.068,398.445012875548,15,0,0,-199.222506437774,280.881241933995,0,0,3,275,200,0.554987124451827,99,0,0,0,1.3267034
0.069,398.485234554695,15,0,0,-199.242617277347,282.324879741228,0,0,3,275,200,0.514765445305045,99,0,0,0,1.3267034
0.07,398.526223268286,15,0,0,-199.263111634143,283.657105700209,0,0,3,275,200,0.473776731714281,99,0,0,0,1.3267034
0.071,398.567922313461,15,0,0,-199.28396115673,284.878696591137,0,0,3,275,200,0.43207768653923,99,0,0,0,1.3267034
0.072,398.610275360814,15,0,0,-199.305137680407,285.990525292128,0,0,3,275,200,0.389724639186397,99,0,0,0,1.3267034
0.073,398.653226504667,15,0,0,-199.326613252334,286.99355819589,0,0,3,275,200,0.346773495332741,99,0,0,0,1.3267034
0.074,398.696720311938,15,0,0,-199.348360155969,287.888852581113,0,0,3,275,200,0.303279688061536,99,0,0,0,1.3267034
0.075,398.740701869559,15,0,0,-199.37035093478,288.677553941797,0,0,3,275,200,0.259298130440982,99,0,0,0,1.3267034
0.076,398.78511683045,15,0,0,-199.392558415225,289.360893276775,0,0,3,275,200,0.214883169549978,99,0,0,0,1.3267034
0.077,398.829911458054,15,0,0,-199.414955729027,289.940184341373,0,0,3,275,200,0.17008854194637,99,0,0,0,1.3267034
0.078,398.875032669355,15,0,0,-199.437516334678,290.416820866144,0,0,3,275,200,0.124967330644608,99,0,0,0,1.3267034
0.079,398.920428076381,15,0,0,-199.460214038191,290.79227374567,0,0,3,275,200,0.0795719236186301,99,0,0,0,1.3267034
0.08,398.966046026262,15,0,0,-199.483023013131,291.068088196115,0,0,3,275,200,0.0339539737377095,99,0,0,0,1.3267034
0.081,399.011835639675,15,0,0,-199.505917819837,291.245880891636,0,0,3,275,200,0,99,0,0,0,1.3267034
0.082,399.05774684782,15,0,0,-199.52887342391,291.327337075838,0,0,3,275,200,0,99,0,0,0,1.3267034
0.083,399.103730427812,15,0,0,-199.551865213906,291.314207655967,0,0,3,275,200,0,99,0,0,0,1.3267034
0.084,399.149738036557,15,0,0,-199.574869018279,291.208306279347,0,0,3,275,200,0,99,0,0,0,1.3267034
0.085,399.195722243046,15,0,0,-199.597861121523,291.011506397913,0,0,3,275,200,0,99,0,0,0,1.3267034
0.086,399.241636559088,15,0,0,-199.620818279544,290.725738322603,0,0,3,275,200,0,99,0,0,0,1.3267034
0.087,399.287435468538,15,0,0,-199.643717734269,290.35298626831,0,0,3,275,200,0,99,0,0,0,1.3267034
0.088,399.333074454891,15,0,0,-199.666537227445,289.895285397394,0,0,3,275,200,0,99,0,0,0,1.3267034
0.089,399.37851002737,15,0,0,-199.689255013685,289.354718859968,0,0,3,275,200,0,99,0,0,0,1.3267034
0.09,399.423699745464,15,0,0,-199.711849872732,288.733414835133,0,0,3,275,200,0,99,0,0,0,1.3267034
0.091,399.468602241881,15,0,0,-199.73430112094,288.033543578401,0,0,3,275,200,0,99,0,0,0,1.3267034
0.092,399.51317724399,15,0,0,-199.756588621995,287.257314474521,0,0,3,275,200,0,99,0,0,0,1.3267034
0.093,399.557385593739,15,0,0,-199.77869279687,286.406973100445,0,0,3,275,200,0,99,0,0,0,1.3267034
0.094,399.601189266027,15,0,0,-199.800594633013,285.484798301401,0,0,3,275,200,0,99,0,0,0,1.3267034
0.095,399.644551385546,15,0,0,-199.822275692773,284.4930992832,0,0,3,275,200,0,99,0,0,0,1.3267034
0.096,399.687436242176,15,0,0,-199.843718121088,283.434212720795,0,0,3,275,200,0,99,0,0,0,1.3267034
0.097,399.729809304865,15,0,0,-199.864904652432,282.310499888474,0,0,3,275,200,0,99,0,0,0,1.3267034
0.098,399.771637234021,15,0,0,-199.885818617011,281.124343813872,0,0,3,275,200,0,99,0,0,0,1.3267034
0.099,399.81288789246,15,0,0,-199.90644394623,279.878146458007,0,0,3,275,200,0,99,0,0,0,1.3267034
0.1,399.853530354938,15,0,0,-199.926765177469,278.574325922263,0,0,3,275,200,0,0,0,1,1,0.0021505
0.101,399.893534916204,15,0,0,-199.946767458102,277.215313688835,0,0,3,275,200,0,0,0,1,1,0.0021505
0.102,399.932873097738,15,0,0,-199.966436548869,275.803551891048,0,0,3,275,200,0,0,0,1,1,0.0021505
0.103,399.971517652991,15,0,0,-199.985758826495,274.34149062386,0,0,3,275,200,0,0,0,1,1,0.0021505
0.104,400.009442571395,15,0,0,-200.004721285698,272.831585287092,0,0,3,275,200,0,0,0,1,1,0.0021505
0.105,400.046623080921,15,0,0,-200.023311540461,271.276293973406,0,0,3,275,200,0,0,0,1,1,0.0021505
0.106,400.0830356494,15,0,0,-200.0415178247,269.678074895291,0,0,3,275,200,0,0,0,1,1,0.0021505
0.107,400.118657984497,15,0,0,-200.059328992249,268.039383858738,0,0,3,275,200,0,0,0,1,1,0.0021505
0.108,400.153469032482,15,0,0,-200.076734516241,266.362671780768,0,0,3,275,200,0,0,0,1,1,0.0021505
0.109,400.187448975683,15,0,0,-200.093724487842,264.650382258155,0,0,3,275,200,0,0,0,1,1,0.0021505
0.11,400.220579228805,15,0,0,-200.110289614402,262.904949183198,0,0,3,275,200,0,0,0,1,1,0.0021505
0.111,400.25284243401,15,0,0,-200.126421217005,261.128794413324,0,0,3,275,200,0,0,0,1,1,0.0021505
0.112,400.284222454849,15,0,0,-200.142111227425,259.324325494043,0,0,3,275,200,0,0,0,1,1,0.0021505
0.113,400.314704369081,15,0,0,-200.157352184541,257.493933436011,0,0,3,275,200,0,0,0,1,1,0.0021505
0.114,400.344274460383,15,0,0,-200.172137230192,255.639990549263,0,0,3,275,200,0,0,0,1,1,0.0021505
0.115,400.372920208971,15,0,0,-200.186460104486,253.764848336313,0,0,3,275,200,0,0,0,1,1,0.0021505
0.116,400.400630281221,15,0,0,-200.200315140611,251.87083544286,0,0,3,275,200,0,0,0,1,1,0.0021505
0.117,400.427394518247,15,0,0,-200.213697259124,249.960255670483,0,0,3,275,200,0,0,0,1,1,0.0021505
0.118,400.453203923508,15,0,0,-200.226601961754,248.035386051035,0,0,3,275,200,0,0,0,1,1,0.0021505
0.119,400.478050649476,15,0,0,-200.239025324738,246.098474983379,0,0,3,275,200,0,0,0,1,1,0.0021505
0.12,400.50192798339,15,0,0,-200.250963991695,244.151740433986,0,0,3,275,200,0,0,0,1,1,0.0021505
0.121,400.524830332108,15,0,0,-200.262415166054,242.197368203372,0,0,3,275,200,0,0,0,1,1,0.0021505
0.122,400.546753206149,15,0,0,-200.273376603075,240.237510256048,0,0,3,275,200,0,0,0,1,1,0.0021505
0.123,400.567693202867,15,0,0,-200.283846601434,238.274283119002,0,0,3,275,200,0,0,0,1,1,0.0021505
0.124,400.5876479889,15,0,0,-200.29382399445,236.309766344743,0,0,3,275,200,0,0,0,1,1,0.0021505
0.125,400.60661628179,15,0,0,-200.303308140895,234.346001044852,0,0,3,275,200,0,0,0,1,1,0.0021505
0.126,400.624597830971,15,0,0,-200.312298915485,232.384988487903,0,0,3,275,200,0,0,0,1,1,0.0021505
0.127,400.641593398025,15,0,0,-200.320796699013,230.428688767691,0,0,3,275,200,0,0,0,1,1,0.0021505
